gno,Title,Experience,Education,Location,Due-date
https://www.jobkorea.co.kr/Recruit/GI_Read/34336509?Oem_Code=C1&logpath=1,Computer vision기반 Algorithm설계,경력3년↑,대졸↑,경기 성남시,~06/30(수)
https://www.jobkorea.co.kr/Recruit/GI_Read/34904911?Oem_Code=C1&logpath=1,[월400이상] 데이터복구 / Computer AS 신규인원 긴급채용(신입가능),경력무관,학력무관,경기 부천시 외,~06/01(화)
https://www.jobkorea.co.kr/Recruit/GI_Read/34904324?Oem_Code=C1&logpath=1,[월400이상] 데이터복구 및 COMPUTER A/S 에 관심많은 신입 엔지니어 팀원 모집,경력무관,학력무관,인천 서구 외,~06/01(화)
https://www.jobkorea.co.kr/Recruit/GI_Read/34902866?Oem_Code=C1&logpath=1,[월400이상] 유지보수 및 COMPUTER AS 신입팀원 모집,경력무관,학력무관,서울 서초구 외,~06/01(화)
https://www.jobkorea.co.kr/Recruit/GI_Read/34885377?Oem_Code=C1&logpath=1,"[VNTG] Process Computer 구축 및 운영 담당자 (창원 근무, 신입/경력)",경력무관,학력무관,경남 창원시,~08/26(목)
https://www.jobkorea.co.kr/Recruit/GI_Read/34866554?Oem_Code=C1&logpath=1,[로봇앤컴주식회사] Computer 및 Network Engineer 채용,경력무관,대졸↑,서울 광진구 외,~06/26(토)
https://www.jobkorea.co.kr/Recruit/GI_Read/34836234?Oem_Code=C1&logpath=1,SW Engineer (Computer Vision),경력1년↑,대졸↑,서울 강남구 외,~08/22(일)
https://www.jobkorea.co.kr/Recruit/GI_Read/34815154?Oem_Code=C1&logpath=1,"Computer Vision / Open CV / ML, DL",경력무관,석사↑,서울 성북구,~08/19(목)
https://www.jobkorea.co.kr/Recruit/GI_Read/34704106?Oem_Code=C1&logpath=1,[증강현실] 메타버스 Computer Vision 연구자 (병역특례 전직 가능),신입·경력,석사↑,서울 강남구,~08/08(일)
https://www.jobkorea.co.kr/Recruit/GI_Read/34635086?Oem_Code=C1&logpath=1,"Computer System Validation 전문가 모집(전기, 전자 전공자)",신입·경력,초대졸↑,경기 안양시 외,~06/02(수)
https://www.jobkorea.co.kr/Recruit/GI_Read/34632665?Oem_Code=C1&logpath=1,[TIE] Computer Vision Engineer 채용,경력5년↑,대졸↑,경기 성남시 외,~06/06(일)
https://www.jobkorea.co.kr/Recruit/GI_Read/34321863?Oem_Code=C1&logpath=1,CSV(Computer System Validation)컨설팅 및 문서작업 지원,경력2년↑,학력무관,서울,~06/29(화)
https://www.jobkorea.co.kr/Recruit/GI_Read/34238334?Oem_Code=C1&logpath=1,"[VNTG] Process Computer 구축 및 운영 담당자 (군산 근무, 신입/경력)",경력무관,학력무관,서울 마포구 외,상시채용
https://www.jobkorea.co.kr/Recruit/GI_Read/34193889?Oem_Code=C1&logpath=1,대만 글로벌기업 Super Micro Computer Holding B.V 사 시니어 기술영업 직원 채용,경력7년↑,대졸↑,서울 서초구 외,~06/16(수)
https://www.jobkorea.co.kr/Recruit/GI_Read/34901841?Oem_Code=C1&logpath=1,[월400이상] 데이터복구 / Computer AS 신규인원 긴급채용(신입가능),경력무관,학력무관,서울 양천구 외,~06/01(화)
https://www.jobkorea.co.kr/Recruit/GI_Read/34899414?Oem_Code=C1&logpath=1,[월400이상] COMPUTER AS 및 네트워크 기술자 및 신입 모집,경력무관,학력무관,경기 성남시 외,~06/01(화)
https://www.jobkorea.co.kr/Recruit/GI_Read/34899033?Oem_Code=C1&logpath=1,COMPUTER A/S  및 데이터 복구 관리 담당자를 찾습니다.,경력무관,학력무관,서울 송파구 외,~06/01(화)
https://www.jobkorea.co.kr/Recruit/GI_Read/34898717?Oem_Code=C1&logpath=1,COMPUTER / 모바일 /외장하드  수리 및 데이터 복구 인원 채용,경력무관,학력무관,경기 안성시 외,~06/01(화)
https://www.jobkorea.co.kr/Recruit/GI_Read/34634547?Oem_Code=C1&logpath=1,[전문연구요원/프론트엔드] Angular/3D/WebGL/Computer Graphics,신입·경력,대졸↑,경기 성남시 외,~06/30(수)
https://www.jobkorea.co.kr/Recruit/GI_Read/34395311?Oem_Code=C1&logpath=1,딥러닝 & 컴퓨터 비젼 개발 경력자 (Deep Learning/Computer Vision Engineer),경력2년↑,석사↑,서울 서초구,상시채용
https://www.jobkorea.co.kr/Recruit/GI_Read/34321616?Oem_Code=C1&logpath=1,,신입·경력,학력무관,,~07/16(금)
https://www.jobkorea.co.kr/Recruit/GI_Read/34825257?Oem_Code=C1&logpath=1,,신입·경력,초대졸↑,,~06/06(일)
https://www.jobkorea.co.kr/Recruit/GI_Read/34801137?Oem_Code=C1&logpath=1,,신입·경력,대졸↑,,~06/02(수)
https://www.jobkorea.co.kr/Recruit/GI_Read/34802144?Oem_Code=C1&logpath=1,,경력,학력무관,,~05/31(월)
https://www.jobkorea.co.kr/Recruit/GI_Read/34816956?Oem_Code=C1&logpath=1,,신입·경력,학력무관,,~05/31(월)
https://www.jobkorea.co.kr/Recruit/GI_Read/34837110?Oem_Code=C1&logpath=1,,경력무관,학력무관,,~06/06(일)
https://www.jobkorea.co.kr/Recruit/GI_Read/34725155?Oem_Code=C1&logpath=1,,신입·경력,학력무관,,~06/25(금)
https://www.jobkorea.co.kr/Recruit/GI_Read/34753675?Oem_Code=C1&logpath=1,,경력무관,학력무관,,~05/31(월)
https://www.jobkorea.co.kr/Recruit/GI_Read/34775379?Oem_Code=C1&logpath=1,,경력,학력무관,,상시채용
https://www.jobkorea.co.kr/Recruit/GI_Read/34729353?Oem_Code=C1&logpath=1,,경력,대졸↑,,~06/30(수)
https://www.jobkorea.co.kr/Recruit/GI_Read/34336509?Oem_Code=C1&logpath=1,Computer vision기반 Algorithm설계,경력3년↑,대졸↑,경기 성남시,~06/30(수)
https://www.jobkorea.co.kr/Recruit/GI_Read/34904911?Oem_Code=C1&logpath=1,[월400이상] 데이터복구 / Computer AS 신규인원 긴급채용(신입가능),경력무관,학력무관,경기 부천시 외,~06/01(화)
https://www.jobkorea.co.kr/Recruit/GI_Read/34904324?Oem_Code=C1&logpath=1,[월400이상] 데이터복구 및 COMPUTER A/S 에 관심많은 신입 엔지니어 팀원 모집,경력무관,학력무관,인천 서구 외,~06/01(화)
